Gender,Mood,text,description,screenName,,favorited,favoriteCount,replyToSN,created.x,truncated,replyToSID,id.x,replyToUID,statusSource,retweetCount,isRetweet,retweeted,longitude,latitude,statusesCount,followersCount,favoritesCount,friendsCount,url,name,created.y,protected,verified,location,lang,id.y,listedCount,followRequestSent,profileImageUrl
m,-1,"@econoclasta Profe, no se olvide de los 3 zombies, Dos Bocas, Tren Maya y Santa Lucía; los cuales ya están muertos… https://t.co/WHn21nUNu9",Actions Speak Louder than Words,A_LaraV,1,FALSE,0,econoclasta,2020-04-30 18:02:03,TRUE,1255915299657920512,1255920363135021056,127080477,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,FALSE,FALSE,NA,NA,1382,148,1721,231,NA,Antoine C,2010-08-30 2:34:05,FALSE,FALSE,Barcelona,NA,184635730,0,FALSE,http://pbs.twimg.com/profile_images/1518416012/200711_004_normal.jpg
m,1,@zoriviajero @preferredhotels @OFFPOLINN @ACAVe_agencias @ViajesNG ¡Gracias por el apoyo y la edición! Ha quedado n… https://t.co/LstNVyYGnE,Crónica de viajes | Periodismo cultural | Editor colaborador de @ViajesNG | Escribo y publico en diferentes medios | tengo un libro de playas en @viajerosanaya,a_todaletra,2,FALSE,1,zoriviajero,2020-04-30 18:01:03,TRUE,1255868642006360081,1255920113603112960,802610696,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,FALSE,FALSE,NA,NA,7364,867,13744,759,https://t.co/7tBiP5jZ7e,josé alejandro,2011-11-16 15:41:15,FALSE,FALSE,"Barcelona, España",NA,414059100,38,FALSE,http://pbs.twimg.com/profile_images/1221104390632808448/5JHvY05W_normal.jpg
m,0,¡Echa un vistazo a mi transmisión desde mi PlayStation 4! #PS4live (eFootball PES 2020)  live at https://t.co/QXmQovQyJH,,abrahamcruz0726,3,FALSE,0,NA,2020-04-30 18:02:09,FALSE,NA,1255920388397240320,NA,"<a href=""http://www.playstation.com"" rel=""nofollow"">PlayStation(R)4</a>",0,FALSE,FALSE,NA,NA,342,144,338,104,https://t.co/d1Tubtj0iH,Abrahamcruz0726,2018-08-17 19:45:13,FALSE,FALSE,"Barcelona, España",NA,1030541075210035201,0,FALSE,http://pbs.twimg.com/profile_images/1106306643082514433/3lsWmZx0_normal.jpg
F,0,"hoy tengo una cita sólo para hacer lo mismo de cada día pero poniéndole una hora concreta y una excusa al vino

el… https://t.co/AXk0bQvKwJ",ditto 🖇🖇🖇🖇🖇🖇 https://t.co/pEcO20y9Vf w/@adamantaimai,aerinita,4,FALSE,0,NA,2020-04-30 18:00:33,TRUE,NA,1255919988348719104,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,FALSE,FALSE,NA,NA,14863,513,9050,840,https://t.co/8NlVAmCIWb,iren,2011-09-05 13:55:31,FALSE,FALSE,bcn,NA,368346194,6,FALSE,http://pbs.twimg.com/profile_images/1246484954168594432/giZMwpdc_normal.jpg
m,1,"#quedateencasa
Si tienes jardín y piscina en casa,
DISFRUTA DE VACACIONES EN CASA.

Ponta a punto y segura con equi… https://t.co/ZchXOECmg7","CEO - Diseño, creación y conservación de #PISCINAS y entornos exteriores de bienestar y relax. ¿Hablamos?",AivanFerron,5,FALSE,0,NA,2020-04-30 18:03:27,TRUE,NA,1255920715796107269,NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",0,FALSE,FALSE,NA,NA,4251,349,2315,295,https://t.co/3nKz5LGo7v,Aivan Ferron,2011-12-21 8:17:38,FALSE,FALSE,Barcelona,NA,442596266,8,FALSE,http://pbs.twimg.com/profile_images/1075647865417068547/RpPtu3RB_normal.jpg
m,0,"Llevo todo el día con el remix de Savage en repeat? Sí
Voy a parar? No",ready • https://t.co/iEzEKVhM29,AlexPasalodos,6,FALSE,0,NA,2020-04-30 18:01:55,FALSE,NA,1255920330176172032,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0,FALSE,FALSE,NA,NA,21919,1525,26797,643,https://t.co/onT6UvqDvn,alex,2012-11-04 19:30:42,FALSE,FALSE,Barcelona,NA,925993789,25,FALSE,http://pbs.twimg.com/profile_images/1214311174436732928/miXm2hgY_normal.jpg
f,-1,@Hastalappk Yo llevo dos días con que quiero adoptar otro y me la como a esa,"Animales🐾

La guitarra suena un poco mal pero no importa porque es verano, el inventor del celo, El Arte no mata, 🐀🐁 Fa es lejos en inglés",ana_sgd,7,FALSE,1,Hastalappk,2020-04-30 18:02:17,FALSE,1255919357630263297,1255920424350822400,2504144754,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0,FALSE,FALSE,NA,NA,123350,949,132650,1466,https://t.co/gmddGZwS4p,AnnaChop (última vez ✈️💀 en misa),2010-07-24 12:51:44,FALSE,FALSE,Barcelona,NA,170294890,6,FALSE,http://pbs.twimg.com/profile_images/1230583148888633345/YHxwHEOu_normal.png
i,1,En @AnfapaNews nos unimos al aplauso solidario para apoyar a nuestro personal sanitario y a todas las personas que… https://t.co/8TQ1YJgI1Y,ANFAPA es la Asociación Nacional de Fabricantes de Morteros y SATE (Sistema de Aislamiento Térmico Exterior),AnfapaNews,8,FALSE,0,NA,2020-04-30 18:00:53,TRUE,NA,1255920071240749057,NA,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",0,FALSE,FALSE,NA,NA,6525,2729,313,898,https://t.co/XdU52S9dHW,Anfapa-MorterosySATE,2015-02-06 10:32:03,FALSE,FALSE,"Barcelona, Cataluña",NA,3021230403,35,FALSE,http://pbs.twimg.com/profile_images/976185021676605440/FnovAWdC_normal.jpg
i,1,"💙 @FundlaCaixa dona millón de euros más a la campanya “Ningún hogar sin alimentos”, impulsada con el apoyo de… https://t.co/Gzs2mkqYz7",El Banc dels Aliments de Barcelona té com a primer objectiu recuperar excedents alimentaris i redistribuir-los a persones en risc de precarietat alimentària,BancAlimentsBcn,9,FALSE,0,NA,2020-04-30 18:00:01,TRUE,NA,1255919851551391744,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",0,FALSE,FALSE,NA,NA,6390,7415,1380,956,NA,Banc dels Aliments,2011-09-14 8:29:56,FALSE,FALSE,Barcelona,NA,373263013,180,FALSE,http://pbs.twimg.com/profile_images/378800000633282230/ccc079aea97329fec87dc5531d0c0ff0_normal.jpeg
i,1,🔔 Cómo proteger el planeta cuando sales a comer fuera de casa... https://t.co/0CLktqGZC8,"#Curiosidades #Noticias #Actualidad Compartimos contigo información valiosa de Barcelona, España y el mundo entero. ¿Nos sigues?",BCN_0N,10,FALSE,0,NA,2020-04-30 18:00:26,FALSE,NA,1255919956019085319,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,FALSE,FALSE,NA,NA,252376,7254,5,7644,NA,BCN 🔛,2015-04-03 8:21:25,FALSE,FALSE,"Barcelona, España",NA,3131588992,40,FALSE,http://pbs.twimg.com/profile_images/985848558162272257/NCHaREUB_normal.jpg
i,1,📺 El amor como estrategia de éxito empresarial: la historia de la salvación de Ford de la quiebra a manos de Alan M… https://t.co/ykTMmbqane,"#Curiosidades #Noticias #Actualidad Compartimos contigo información valiosa de Barcelona, España y el mundo entero. ¿Nos sigues?",BCN_0N,11,FALSE,0,NA,2020-04-30 18:02:37,TRUE,NA,1255920506383073282,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0,FALSE,FALSE,NA,NA,252376,7254,5,7644,NA,BCN 🔛,2015-04-03 8:21:25,FALSE,FALSE,"Barcelona, España",NA,3131588992,40,FALSE,http://pbs.twimg.com/profile_images/985848558162272257/NCHaREUB_normal.jpg
